400m,Men,43.01,1322.0
400mH,Men,46.29,1322.0
4x100m,Men,36.79,1322.0
4x200m,Men,1:17.35,1322.0
4x400m,Men,2:51.81,1322.0
200m,Men,19.37,1321.0
300m,Men,30.33,1321.0
400m,Men,43.03,1321.0
400mH,Men,46.31,1321.0
4x100m,Men,36.8,1321.0
4x200m,Men,1:17.38,1321.0
4x400m,Men,2:51.87,1321.0
110mH,Men,12.67,1320.0
200m,Men,19.38,1320.0
300m,Men,30.34,1320.0
400m,Men,43.04,1320.0
400mH,Men,46.33,1320.0
4x100m,Men,36.82,1320.0
4x200m,Men,1:17.40,1320.0
4x400m,Men,2:51.94,1320.0
100m,Men,9.68,1319.0
300m,Men,30.35,1319.0
400m,Men,43.05,1319.0
400mH,Men,46.34,1319.0
4x100m,Men,36.83,1319.0
4x200m,Men,1:17.43,1319.0
4x400m,Men,2:52.00,1319.0
110mH,Men,12.68,1318.0
200m,Men,19.39,1318.0
300m,Men,30.36,1318.0
400m,Men,43.07,1318.0
400mH,Men,46.36,1318.0
4x100m,Men,36.84,1318.0
4x200m,Men,1:17.45,1318.0
4x400m,Men,2:52.06,1318.0
300m,Men,30.37,1317.0
400m,Men,43.08,1317.0
400mH,Men,46.38,1317.0
4x100m,Men,36.85,1317.0
4x200m,Men,1:17.48,1317.0
4x400m,Men,2:52.12,1317.0
100m,Men,9.69,1316.0
110mH,Men,12.69,1316.0
200m,Men,19.4,1316.0
300m,Men,30.38,1316.0
400m,Men,43.09,1316.0
400mH,Men,46.4,1316.0
4x100m,Men,36.86,1316.0
4x200m,Men,1:17.50,1316.0
4x400m,Men,2:52.18,1316.0
200m,Men,19.41,1315.0
300m,Men,30.39,1315.0
400m,Men,43.11,1315.0
400mH,Men,46.42,1315.0
4x100m,Men,36.88,1315.0
4x200m,Men,1:17.53,1315.0
4x400m,Men,2:52.24,1315.0
110mH,Men,12.7,1314.0
300m,Men,30.4,1314.0
400m,Men,43.12,1314.0
400mH,Men,46.44,1314.0
4x100m,Men,36.89,1314.0
4x200m,Men,1:17.55,1314.0
4x400m,Men,2:52.30,1314.0
200m,Men,19.42,1313.0
300m,Men,30.41,1313.0
400m,Men,43.13,1313.0
400mH,Men,46.46,1313.0
4x100m,Men,36.9,1313.0
4x200m,Men,1:17.58,1313.0
4x400m,Men,2:52.37,1313.0
100m,Men,9.7,1312.0
110mH,Men,12.71,1312.0
300m,Men,30.42,1312.0
400m,Men,43.15,1312.0
400mH,Men,46.48,1312.0
4x100m,Men,36.91,1312.0
4x200m,Men,1:17.61,1312.0
4x400m,Men,2:52.43,1312.0
200m,Men,19.43,1311.0
300m,Men,30.43,1311.0
400m,Men,43.16,1311.0
400mH,Men,46.49,1311.0
4x100m,Men,36.93,1311.0
4x200m,Men,1:17.63,1311.0
4x400m,Men,2:52.49,1311.0
110mH,Men,12.72,1310.0
200m,Men,19.44,1310.0
300m,Men,30.44,1310.0
400m,Men,43.18,1310.0
400mH,Men,46.51,1310.0
4x100m,Men,36.94,1310.0
4x200m,Men,1:17.66,1310.0
4x400m,Men,2:52.55,1310.0
300m,Men,30.45,1309.0
400m,Men,43.19,1309.0
400mH,Men,46.53,1309.0
4x100m,Men,36.95,1309.0
4x200m,Men,1:17.68,1309.0
4x400m,Men,2:52.61,1309.0
100m,Men,9.71,1308.0
110mH,Men,12.73,1308.0
200m,Men,19.45,1308.0
300m,Men,30.46,1308.0
400m,Men,43.2,1308.0
400mH,Men,46.55,1308.0
4x100m,Men,36.96,1308.0
4x200m,Men,1:17.71,1308.0
