event,gender,performance,points
60mH,MALE,8.19,982.0
50m,MALE,6.0,980.0
60m,MALE,6.92,980.0
55mH,MALE,7.64,980.0
50mH,MALE,7.0,978.0
60mH,MALE,8.2,978.0
55m,MALE,6.48,977.0
55mH,MALE,7.65,976.0
60m,MALE,6.93,975.0
50mH,MALE,7.01,975.0
60mH,MALE,8.21,975.0
50m,MALE,6.01,974.0
55mH,MALE,7.66,973.0
55m,MALE,6.49,972.0
60mH,MALE,8.22,972.0
50mH,MALE,7.02,971.0
55mH,MALE,7.67,970.0
60m,MALE,6.94,969.0
60mH,MALE,8.23,969.0
50m,MALE,6.02,968.0
50mH,MALE,7.03,967.0
55m,MALE,6.5,966.0
55mH,MALE,7.68,966.0
60mH,MALE,8.24,966.0
60m,MALE,6.95,964.0
50mH,MALE,7.04,964.0
55mH,MALE,7.69,963.0
60mH,MALE,8.25,963.0
50m,MALE,6.03,962.0
55m,MALE,6.51,961.0
50mH,MALE,7.05,960.0
60mH,MALE,8.26,960.0
60m,MALE,6.96,959.0
55mH,MALE,7.7,959.0
50mH,MALE,7.06,957.0
60mH,MALE,8.27,957.0
50m,MALE,6.04,956.0
55mH,MALE,7.71,956.0
55m,MALE,6.52,955.0
60m,MALE,6.97,954.0
60mH,MALE,8.28,954.0
50mH,MALE,7.07,953.0
55mH,MALE,7.72,953.0
60mH,MALE,8.29,951.0
50m,MALE,6.05,950.0
55m,MALE,6.53,950.0
60m,MALE,6.98,949.0
50mH,MALE,7.08,949.0
55mH,MALE,7.73,949.0
60mH,MALE,8.3,948.0
50mH,MALE,7.09,946.0
55mH,MALE,7.74,946.0
60mH,MALE,8.31,945.0
50m,MALE,6.06,944.0
55m,MALE,6.54,944.0
60m,MALE,6.99,944.0
50mH,MALE,7.1,942.0
55mH,MALE,7.75,942.0
60mH,MALE,8.32,942.0
55m,MALE,6.55,939.0
60m,MALE,7.0,939.0
50mH,MALE,7.11,939.0
55mH,MALE,7.76,939.0
60mH,MALE,8.33,939.0
50m,MALE,6.07,938.0
55mH,MALE,7.77,936.0
60mH,MALE,8.34,936.0
50mH,MALE,7.12,935.0
60m,MALE,7.01,934.0
55m,MALE,6.56,933.0
60mH,MALE,8.35,933.0
50m,MALE,6.08,932.0
55mH,MALE,7.78,932.0
50mH,MALE,7.13,931.0
60mH,MALE,8.36,930.0
60m,MALE,7.02,929.0
55mH,MALE,7.79,929.0
55m,MALE,6.57,928.0
50mH,MALE,7.14,928.0
60mH,MALE,8.37,927.0
50m,MALE,6.09,926.0
55mH,MALE,7.8,926.0
50mH,MALE,7.15,924.0
60mH,MALE,8.38,924.0
60m,MALE,7.03,923.0
55m,MALE,6.58,922.0
55mH,MALE,7.81,922.0
50mH,MALE,7.16,921.0
60mH,MALE,8.39,921.0
50m,MALE,6.1,920.0
55mH,MALE,7.82,919.0
60m,MALE,7.04,918.0
60mH,MALE,8.4,918.0
55m,MALE,6.59,917.0
50mH,MALE,7.17,917.0
55mH,MALE,7.83,916.0
60mH,MALE,8.41,915.0
50m,MALE,6.11,914.0
50mH,MALE,7.18,914.0
60m,MALE,7.05,913.0
55m,MALE,6.6,912.0
55mH,MALE,7.84,912.0
60mH,MALE,8.42,912.0
50mH,MALE,7.19,910.0
55mH,MALE,7.85,909.0
60mH,MALE,8.43,909.0
50m,MALE,6.12,908.0
60m,MALE,7.06,908.0
50mH,MALE,7.2,907.0
55m,MALE,6.61,906.0
55mH,MALE,7.86,906.0
60mH,MALE,8.44,906.0
60m,MALE,7.07,903.0
50mH,MALE,7.21,903.0
55mH,MALE,7.87,903.0
60mH,MALE,8.45,903.0
50m,MALE,6.13,902.0
55m,MALE,6.62,901.0
60mH,MALE,8.46,901.0
50mH,MALE,7.22,900.0
55mH,MALE,7.88,899.0
60m,MALE,7.08,898.0
60mH,MALE,8.47,898.0
50m,MALE,6.14,897.0
55m,MALE,6.63,896.0
50mH,MALE,7.23,896.0
55mH,MALE,7.89,896.0
60mH,MALE,8.48,895.0
60m,MALE,7.09,894.0
50mH,MALE,7.24,893.0
55mH,MALE,7.9,893.0
60mH,MALE,8.49,892.0
50m,MALE,6.15,891.0
55m,MALE,6.64,890.0
60m,MALE,7.1,889.0
50mH,MALE,7.25,889.0
55mH,MALE,7.91,889.0
60mH,MALE,8.5,889.0
50mH,MALE,7.26,886.0
55mH,MALE,7.92,886.0
60mH,MALE,8.51,886.0
50m,MALE,6.16,885.0
55m,MALE,6.65,885.0
60m,MALE,7.11,884.0
55mH,MALE,7.93,883.0
60mH,MALE,8.52,883.0
50mH,MALE,7.27,882.0
55m,MALE,6.66,880.0
55mH,MALE,7.94,880.0
60mH,MALE,8.53,880.0
50m,MALE,6.17,879.0
60m,MALE,7.12,879.0
50mH,MALE,7.28,879.0
60mH,MALE,8.54,877.0
55mH,MALE,7.95,876.0
50mH,MALE,7.29,875.0
55m,MALE,6.67,874.0
60m,MALE,7.13,874.0
60mH,MALE,8.55,874.0
50m,MALE,6.18,873.0
55mH,MALE,7.96,873.0
50mH,MALE,7.3,872.0
60mH,MALE,8.56,871.0
55mH,MALE,7.97,870.0
55m,MALE,6.68,869.0
60m,MALE,7.14,869.0
60mH,MALE,8.57,869.0
50mH,MALE,7.31,868.0
50m,MALE,6.19,867.0
55mH,MALE,7.98,867.0
60mH,MALE,8.58,866.0
50mH,MALE,7.32,865.0
55m,MALE,6.69,864.0
60m,MALE,7.15,864.0
55mH,MALE,7.99,863.0
60mH,MALE,8.59,863.0
50m,MALE,6.2,862.0
50mH,MALE,7.33,861.0
55mH,MALE,8.0,860.0
60mH,MALE,8.6,860.0
55m,MALE,6.7,859.0
60m,MALE,7.16,859.0
50mH,MALE,7.34,858.0
55mH,MALE,8.01,857.0
60mH,MALE,8.61,857.0
50m,MALE,6.21,856.0
55m,MALE,6.71,854.0
60m,MALE,7.17,854.0
50mH,MALE,7.35,854.0
55mH,MALE,8.02,854.0
60mH,MALE,8.62,854.0
50mH,MALE,7.36,851.0
55mH,MALE,8.03,851.0
60mH,MALE,8.63,851.0
50m,MALE,6.22,850.0
60m,MALE,7.18,849.0
55m,MALE,6.72,848.0
50mH,MALE,7.37,848.0
60mH,MALE,8.64,848.0
55mH,MALE,8.04,847.0
60mH,MALE,8.65,846.0
50m,MALE,6.23,845.0
60m,MALE,7.19,845.0
50mH,MALE,7.38,844.0
55mH,MALE,8.05,844.0
55m,MALE,6.73,843.0
60mH,MALE,8.66,843.0
50mH,MALE,7.39,841.0
55mH,MALE,8.06,841.0
60m,MALE,7.2,840.0
60mH,MALE,8.67,840.0
50m,MALE,6.24,839.0
55m,MALE,6.74,838.0
55mH,MALE,8.07,838.0
50mH,MALE,7.4,837.0
60mH,MALE,8.68,837.0
60m,MALE,7.21,835.0
55mH,MALE,8.08,835.0
50mH,MALE,7.41,834.0
60mH,MALE,8.69,834.0
50m,MALE,6.25,833.0
55m,MALE,6.75,833.0
50mH,MALE,7.42,831.0
55mH,MALE,8.09,831.0
60mH,MALE,8.7,831.0
60m,MALE,7.22,830.0
60mH,MALE,8.71,829.0
50m,MALE,6.26,828.0
55m,MALE,6.76,828.0
55mH,MALE,8.1,828.0
50mH,MALE,7.43,827.0
60m,MALE,7.23,826.0
60mH,MALE,8.72,826.0
55mH,MALE,8.11,825.0
50mH,MALE,7.44,824.0
55m,MALE,6.77,823.0
60mH,MALE,8.73,823.0
50m,MALE,6.27,822.0
55mH,MALE,8.12,822.0
60m,MALE,7.24,821.0
50mH,MALE,7.45,821.0
60mH,MALE,8.74,820.0
55mH,MALE,8.13,819.0
55m,MALE,6.78,818.0
50mH,MALE,7.46,817.0
60mH,MALE,8.75,817.0
50m,MALE,6.28,816.0
60m,MALE,7.25,816.0
55mH,MALE,8.14,816.0
60mH,MALE,8.76,815.0
50mH,MALE,7.47,814.0
55mH,MALE,8.15,813.0
55m,MALE,6.79,812.0
60mH,MALE,8.77,812.0
50m,MALE,6.29,811.0
60m,MALE,7.26,811.0
50mH,MALE,7.48,811.0
55mH,MALE,8.16,809.0
60mH,MALE,8.78,809.0
55m,MALE,6.8,807.0
60m,MALE,7.27,807.0
50mH,MALE,7.49,807.0
55mH,MALE,8.17,806.0
60mH,MALE,8.79,806.0
50m,MALE,6.3,805.0
50mH,MALE,7.5,804.0
55mH,MALE,8.18,803.0
60mH,MALE,8.8,803.0
55m,MALE,6.81,802.0
60m,MALE,7.28,802.0
50mH,MALE,7.51,801.0
60mH,MALE,8.81,801.0
50m,MALE,6.31,800.0
